DateTime;Battery;Heading;Pitch;Roll;Pressure;Temperature;AnalogIn1;AnalogIn2;Speed#1(1.5m);Dir#1(1.5m);Speed#2(2.5m);Dir#2(2.5m);Speed#3(3.5m);Dir#3(3.5m);Speed#4(4.5m);Dir#4(4.5m);Speed#5(5.5m);Dir#5(5.5m);Speed#6(6.5m);Dir#6(6.5m);Speed#7(7.5m);Dir#7(7.5m);Speed#8(8.5m);Dir#8(8.5m);Speed#9(9.5m);Dir#9(9.5m);Speed#10(10.5m);Dir#10(10.5m);Speed#11(11.5m);Dir#11(11.5m);Speed#12(12.5m);Dir#12(12.5m)
3/08/2023 22:50;11.7;326.3;-8.7;8.9;15.047;19.19;0;0;0.099;156.8;0.144;133.59;0.076;105.32;0.111;138.67;0.145;118.52;0.166;108.65;0.102;111.28;0.08;124.88;0.068;64.93;0.049;56.63;0.007;135;0.079;332.78
3/08/2023 23:00;11.7;326.3;-8.7;8.9;15.041;19.16;0;0;0.103;108.08;0.173;99.63;0.12;104.04;0.103;105.26;0.066;112.29;0.111;108.43;0.079;92.9;0.044;91.3;0.019;96.01;0.077;90;0.068;52.79;0.075;2.29
3/08/2023 23:10;11.7;326.3;-8.7;8.9;14.997;19.14;0;0;0.112;60.7;0.127;51.69;0.095;109.78;0.068;176.63;0.048;87.61;0.036;123.69;0.046;127.12;0.02;153.43;0.033;244.98;0.051;198.43;0.002;153.43;0.121;6.65
3/08/2023 23:20;11.7;326.3;-8.7;8.9;14.921;19.05;0;0;0.071;113.3;0.107;95.92;0.098;116.04;0.122;116.77;0.08;110.47;0.049;81.87;0.047;116.57;0.022;120.07;0.023;2.49;0.035;353.48;0.055;320.19;0.12;347.47
3/08/2023 23:30;11.7;326.3;-8.6;8.9;14.952;18.96;0;0;0.159;146.81;0.088;121.52;0.14;133.26;0.12;132.63;0.113;134.28;0.114;156.14;0.058;116.57;0.061;76.65;0.087;91.97;0.061;357.18;0.11;313.89;0.115;316.41
3/08/2023 23:40;11.7;326.3;-8.7;8.9;14.919;18.9;0;0;0.1;112.97;0.114;117.01;0.099;111.91;0.103;143.69;0.086;135;0.091;140.36;0.06;93.81;0.092;83.11;0.019;36.25;0.089;274.5;0.07;248.2;0.056;346.46
3/08/2023 23:50;11.7;326.3;-8.7;8.9;14.896;18.87;0;0;0.068;151.19;0.135;131.39;0.072;116.57;0.116;134.3;0.13;108.43;0.082;121.56;0.021;136.97;0.028;64.36;0.037;315;0.025;311.82;0.043;282.09;0.097;331.58
4/08/2023 00:00;11.7;326.3;-8.7;8.9;14.895;18.86;0;0;0.108;109.44;0.095;96.67;0.06;152.15;0.088;97.85;0.062;113.68;0.101;100.86;0.111;73.2;0.147;70.58;0.098;47.49;0.049;345.96;0.022;280.3;0.024;326.98
4/08/2023 00:10;11.7;326.3;-8.7;8.9;14.856;18.84;0;0;0.066;96.91;0.124;137.94;0.064;125.43;0.107;105.72;0.123;111.54;0.102;105.4;0.086;91.33;0.022;103.39;0.061;214.99;0.059;271.94;0.054;4.24;0.073;314.44
4/08/2023 00:20;11.7;326.3;-8.7;8.9;14.843;18.83;0;0;0.062;96.44;0.048;138.37;0.097;148.43;0.081;95.64;0.03;168.31;0.013;57.53;0.074;79.9;0.091;24.6;0.224;336.87;0.328;317.35;0.317;311.17;0.23;324.93
4/08/2023 00:30;11.7;326.3;-8.7;8.9;14.84;18.8;0;0;0.086;130.75;0.096;92.39;0.064;81.87;0.034;103.63;0.096;109.37;0.051;59.42;0.109;325.44;0.157;321.74;0.156;321;0.195;328.43;0.212;334.53;0.248;322.85
4/08/2023 00:40;11.7;326.3;-8.6;8.9;14.843;18.79;0;0;0.162;171.82;0.01;90;0.069;128.53;0.088;125.31;0.153;144.85;0.119;123.02;0.063;97.35;0.037;319.4;0.035;298.74;0.061;292.33;0.124;244.26;0.164;253
4/08/2023 00:50;11.7;326.3;-8.7;8.9;14.802;18.76;0;0;0.059;122.62;0.102;121.35;0.126;122.68;0.133;89.57;0.126;108.43;0.158;140.66;0.138;146.54;0.047;157.29;0.05;328.84;0.115;294.78;0.164;270;0.163;284.55
4/08/2023 01:00;11.7;326.3;-8.7;8.9;14.796;18.75;0;0;0.079;95.06;0.108;80.36;0.093;126.25;0.112;129.54;0.097;130.41;0.146;125.54;0.126;108.43;0.095;54.81;0.129;44.37;0.126;23.32;0.08;358.57;0.138;336.04
4/08/2023 01:10;11.7;326.3;-8.7;8.9;14.798;18.72;0;0;0.024;94.76;0.179;130.01;0.136;154.75;0.116;140.95;0.135;154.01;0.084;141.77;0.065;116.57;0.041;85.82;0.028;124.82;0.019;198.43;0.055;286.8;0.09;276.41
4/08/2023 01:20;11.7;326.3;-8.7;8.9;14.863;18.7;0;0;0.087;144.31;0.105;176.19;0.075;170.04;0.117;158.93;0.097;165.11;0.109;160.73;0.072;145.2;0.016;180;0.021;129.09;0.182;325.09;0.308;321.72;0.352;326.58
4/08/2023 01:30;11.7;326.2;-8.7;8.9;14.856;18.69;0;0;0.083;130.6;0.096;164.95;0.115;138.16;0.11;126.14;0.108;110.12;0.074;136.1;0.043;162.41;0.04;104.38;0.061;111.1;0.105;333.92;0.209;328.52;0.297;332.74
4/08/2023 01:40;11.7;326.2;-8.7;8.9;14.828;18.67;0;0;0.088;124.41;0.089;181.29;0.094;154.25;0.068;145.15;0.097;176.46;0.103;147.7;0.111;190.91;0.143;194.62;0.14;173.43;0.095;186.67;0.124;258.87;0.051;326.93
4/08/2023 01:50;11.7;326.2;-8.7;8.9;14.823;18.66;0;0;0.075;153.78;0.069;173.39;0.109;164.05;0.118;125.71;0.081;100.62;0.092;110.99;0.086;89.33;0.059;80.22;0.07;124.59;0.058;15.95;0.136;354.92;0.206;347.38
4/08/2023 02:00;11.7;326.2;-8.7;8.9;14.938;18.67;0;0;0.055;101.51;0.032;131.19;0.094;128.09;0.086;95.31;0.134;95.58;0.14;118.22;0.139;128.27;0.12;109.94;0.08;107.53;0.078;162.95;0.041;78.69;0.132;10.89
4/08/2023 02:10;11.7;326.3;-8.7;8.9;14.92;18.68;0;0;0.126;137.57;0.002;153.43;0.019;302.01;0.08;167.7;0.083;124.26;0.091;145.27;0.089;158.32;0.059;141.19;0.047;183.65;0.066;201.48;0.035;76.76;0.045;0
4/08/2023 02:20;11.7;326.3;-8.6;8.9;14.919;18.68;0;0;0.046;271.25;0.08;168.41;0.037;136.08;0.095;144.46;0.164;168.42;0.156;163.19;0.081;152.8;0.032;123.69;0.055;26.1;0.045;87.46;0.058;132.21;0.034;283.63
4/08/2023 02:30;11.7;326.2;-8.7;8.9;14.907;18.69;0;0;0.02;75.26;0.063;191.84;0.062;132.4;0.082;97.73;0.098;82.37;0.1;90.57;0.076;114.19;0.075;103.11;0.05;121.16;0.036;97.91;0.086;47.82;0.095;14.62
4/08/2023 02:40;11.7;326.2;-8.7;8.9;14.949;18.69;0;0;0.042;275.44;0.085;218.77;0.113;163.01;0.118;139.13;0.072;160.56;0.09;152.3;0.109;122.67;0.045;140.36;0.036;97.91;0.039;106.56;0.056;109.72;0.033;351.38
4/08/2023 02:50;11.7;326.2;-8.7;8.9;15.025;18.73;0;0;0.063;262.65;0.119;138.41;0.139;126.54;0.089;140.94;0.076;96.84;0.101;101.98;0.118;102.26;0.111;98.28;0.069;125.54;0.086;119.25;0.081;114.03;0.017;45
4/08/2023 03:00;11.7;326.2;-8.7;8.9;15.011;18.73;0;0;0.1;224.19;0.109;189.46;0.049;171.87;0.052;106.7;0.084;116.26;0.08;101.59;0.085;108.43;0.08;117.53;0.033;96.91;0.027;77.01;0.049;45.83;0.03;60.02
4/08/2023 03:10;11.7;326.3;-8.7;8.9;15.029;18.74;0;0;0.1;182.29;0.042;118.39;0.105;82.87;0.087;129.38;0.132;111.32;0.091;108.63;0.096;94.17;0.144;94.8;0.057;90;0.024;62.35;0.031;39.81;0.049;21.37
4/08/2023 03:20;11.7;326.3;-8.7;8.9;15.119;18.75;0;0;0.121;166.08;0.131;139.02;0.091;163.97;0.126;171.81;0.151;159.4;0.1;162.47;0.076;159.89;0.011;146.31;0.017;339.44;0.024;24.44;0.076;129.13;0.057;40.71
4/08/2023 03:30;11.7;326.3;-8.6;8.9;15.161;18.75;0;0;0.119;185.81;0.047;150.71;0.059;90;0.039;131.88;0.061;152.59;0.105;102.71;0.072;91.59;0.064;70.71;0.077;43.42;0.075;9.96;0.098;17.88;0.136;50.09
4/08/2023 03:40;11.7;326.2;-8.7;8.9;15.222;18.84;0;0;0.114;180;0.093;142.39;0.07;115.46;0.077;98.97;0.074;98.57;0.06;132.98;0.015;118.3;0.058;85.07;0.088;77.54;0.055;50.19;0.055;11.51;0.072;22.99
4/08/2023 03:50;11.7;326.2;-8.7;8.9;15.237;18.83;0;0;0.11;206.57;0.057;130.71;0.056;94.09;0.054;125.17;0.079;123.69;0.04;145.12;0.056;140.06;0.053;104.3;0.041;62.18;0.062;345.07;0.018;279.46;0.021;121.43
4/08/2023 04:00;11.7;326.2;-8.7;8.9;15.28;18.8;0;0;0.086;168.56;0.138;178.34;0.103;147.23;0.095;157.2;0.111;162.71;0.086;143;0.068;154.57;0.073;156.6;0.059;110.9;0.044;107.2;0.025;260.91;0.023;151.19
4/08/2023 04:10;11.7;326.3;-8.7;8.9;15.322;18.75;0;0;0.122;169.61;0.132;157.31;0.11;135;0.076;128.07;0.112;146.31;0.058;160.94;0.073;176.08;0.092;151.49;0.07;129.17;0.05;86.57;0.087;84.75;0.085;39.72
4/08/2023 04:20;11.7;326.2;-8.7;8.9;15.352;18.78;0;0;0.209;155.15;0.095;157.2;0.157;131.63;0.061;120.8;0.109;108.1;0.1;136.22;0.134;145.95;0.085;150.42;0.067;157.25;0.044;161.57;0.037;96.17;0.102;79.8
4/08/2023 04:30;11.7;326.2;-8.7;8.9;15.396;18.81;0;0;0.102;204.81;0.115;123.69;0.128;151.64;0.075;155.49;0.085;128.77;0.082;141.45;0.054;151.05;0.041;164.25;0.011;15.26;0.079;346.14;0.069;342.35;0.158;328.23
